airport_code,city_name,state_abr,longitude,latitude
PIE,"St. Petersburg, FL",FL,-82.68638889,27.90861111
TEX,"Telluride, CO",CO,-107.90888889,37.95388889
TAL,"Tanana, AK",AK,-152.10805556,65.17444444
HSL,"Huslia, AK",AK,-156.35138889,65.69777778
PAH,"Paducah, KY",KY,-88.77305556,37.06027778
SUS,"St. Louis, MO",MO,-90.65194444,38.66222222
JHW,"Jamestown, NY",NY,-79.25805556,42.15333333
CKX,"Chicken, AK",AK,-141.95138889,64.06666667
GYY,"Gary, IN",IN,-87.41444444,41.61722222
DRT,"Del Rio, TX",TX,-100.92722222,29.37416667
OGD,"Ogden, UT",UT,-112.01222222,41.195
IPT,"Williamsport, PA",PA,-76.92194444,41.24166667
JLN,"Joplin, MO",MO,-94.49888889,37.15305556
LSV,"Las Vegas, NV",NV,-115.03416667,36.23611111
TYR,"Tyler, TX",TX,-95.40305556,32.35361111
BTL,"Battle Creek, MI",MI,-85.25,42.30638889
AEX,"Alexandria, LA",LA,-92.54861111,31.3275
CGI,"Cape Girardeau, MO",MO,-89.57083333,37.22527778
CLD,"Carlsbad, CA",CA,-117.28,33.12833333
MCN,"Macon, GA",GA,-83.64916667,32.69277778
SVS,"Stevens Village, AK",AK,-149.05444444,66.01694444
ADS,"Dallas, TX",TX,-96.83638889,32.96861111
KBC,"Birch Creek, AK",AK,-145.81805556,66.27444444
XXX,"Mena, AR",AR,-94.20277778,34.54527778
ABR,"Aberdeen, SD",SD,-98.4225,45.44666667
STC,"St. Cloud, MN",MN,-94.05944444,45.54611111
IRC,"Circle, AK",AK,-144.07611111,65.82805556
HIB,"Hibbing, MN",MN,-92.83888889,47.38666667
HUS,"Hughes, AK",AK,-154.26472222,66.03916667
INL,"International Falls, MN",MN,-93.40222222,48.56555556
PIR,"Pierre, SD",SD,-100.28583333,44.38277778
ATY,"Watertown, SD",SD,-97.15472222,44.91388889
CHP,"Circle Hot Springs, AK",AK,-144.61166667,65.48583333
OPF,"Miami, FL",FL,-80.27833333,25.9075
MKG,"Muskegon, MI",MI,-86.23555556,43.16777778
CMX,"Hancock/Houghton, MI",MI,-88.48916667,47.16833333
BRD,"Brainerd, MN",MN,-94.13361111,46.40416667
BRW,"Barrow, AK",AK,-156.76861111,71.28472222
SCC,"Deadhorse, AK",AK,-148.46527778,70.19472222
BJI,"Bemidji, MN",MN,-94.93472222,47.51083333
KTN,"Ketchikan, AK",AK,-131.71111111,55.35416667
HKY,"Hickory, NC",NC,-81.38944444,35.74111111
PLN,"Pellston, MI",MI,-84.79666667,45.57083333
RHI,"Rhinelander, WI",WI,-89.46666667,45.63083333
NZY,"San Diego, CA",CA,-117.21305556,32.69833333
FOD,"Fort Dodge, IA",IA,-94.19194444,42.55111111
ILN,"Wilmington, OH",OH,-83.79222222,39.42805556
IAG,"Niagara Falls, NY",NY,-78.94583333,43.1075
DHN,"Dothan, AL",AL,-85.44944444,31.32111111
TVF,"Thief River Falls, MN",MN,-96.185,48.06555556
NHK,"Patuxent River, MD",MD,-76.41,38.28638889
ESC,"Escanaba, MI",MI,-87.09361111,45.72277778
EAU,"Eau Claire, WI",WI,-91.48416667,44.86583333
TEB,"Teterboro, NJ",NJ,-74.06083333,40.85
PGV,"Greenville, NC",NC,-77.38416667,35.63555556
CHD,"Chandler, AZ",AZ,-111.81111111,33.26916667
BTT,"Bettles, AK",AK,-151.52916667,66.91388889
AKP,"Anaktuvuk Pass, AK",AK,-151.74333333,68.13361111
AOO,"Altoona, PA",PA,-78.32,40.29638889
WCR,"Chandalar, AK",AK,-148.48333333,67.50444444
VLD,"Valdosta, GA",GA,-83.27611111,30.78138889
MQY,"Smyrna, TN",TN,-86.52,36.00888889
ABY,"Albany, GA",GA,-84.19444444,31.53555556
VCV,"Victorville, CA",CA,-117.38305556,34.5975
FLO,"Florence, SC",SC,-79.72388889,34.18527778
BWG,"Bowling Green, KY",KY,-86.41972222,36.96444444
FRG,"East Farmingdale, NY",NY,-73.41333333,40.72888889
EMK,"Emmonak, AK",AK,-164.49083333,62.78611111
BIC,"Big Creek, AK",AK,-157.58333333,57.66666667
ATK,"Atqasuk, AK",AK,-157.43555556,70.46722222
KAL,"Kaltag, AK",AK,-158.74138889,64.31888889
NUL,"Nulato, AK",AK,-158.07416667,64.72944444
RBY,"Ruby, AK",AK,-155.47,64.72722222
KGK,"Koliganek, AK",AK,-157.26027778,59.72666667
ILI,"Iliamna, AK",AK,-154.91777778,59.75555556
KYU,"Koyukuk, AK",AK,-157.73055556,64.87583333
AIN,"Wainwright, AK",AK,-159.99472222,70.63805556
PIZ,"Point Lay, AK",AK,-163.00527778,69.73277778
BTI,"Barter Island, AK",AK,-143.65361111,70.11305556
CXF,"Coldfoot, AK",AK,-150.20388889,67.25222222
HYS,"Hays, KS",KS,-99.27305556,38.84222222
INT,"Winston-Salem, NC",NC,-80.22194444,36.13361111
SJT,"San Angelo, TX",TX,-100.49638889,31.35777778
IAN,"Kiana, AK",AK,-160.43666667,66.97583333
DPA,"Chicago, IL",IL,-88.24666667,41.91555556
ILG,"Wilmington, DE",DE,-75.60666667,39.67861111
GYR,"Goodyear, AZ",AZ,-112.37527778,33.42333333
HOP,"Hopkinsville, KY",KY,-87.49194444,36.67333333
AET,"Allakaket, AK",AK,-152.62222222,66.55194444
SLN,"Salina, KS",KS,-97.65222222,38.79055556
PHN,"Port Huron, MI",MI,-82.52888889,42.91083333
ALS,"Alamosa, CO",CO,-105.86777778,37.435
IPL,"El Centro, CA",CA,-115.57888889,32.83416667
ZXF,"Illinois Creek, AK",AK,-157.35,64.11666667
GRK,"Killeen, TX",TX,-97.82888889,31.06722222
NKT,"Cherry Point, NC",NC,-76.88138889,34.9025
SVN,"Savannah, GA",GA,-81.14611111,32.01
KPC,"Port Clarence, AK",AK,-166.8575,65.25333333
MFD,"Mansfield, OH",OH,-82.51666667,40.82138889
PDK,"Atlanta, GA",GA,-84.30194444,33.87555556
LBF,"North Platte, NE",NE,-100.68361111,41.12611111
MKL,"Jackson, TN",TN,-88.91555556,35.6
MNT,"Minto, AK",AK,-149.36861111,65.14805556
MTO,"Mattoon/Charleston, IL",IL,-88.28,39.47777778
NUI,"Nuiqsut, AK",AK,-151.00638889,70.20972222
OKK,"Kokomo/Logansport/Peru, IN",IN,-86.05972222,40.52777778
PAM,"Panama City, FL",FL,-85.575,30.06916667
GTR,"Columbus, MS",MS,-88.59138889,33.44833333
APA,"Denver, CO",CO,-104.84916667,39.57
MHM,"Minchumina, AK",AK,-152.30194444,63.88583333
RWI,"Rocky Mount, NC",NC,-77.89194444,35.85638889
OCF,"Ocala, FL",FL,-82.22416667,29.17194444
HOT,"Hot Springs, AR",AR,-93.09611111,34.47805556
UIN,"Quincy, IL",IL,-91.19444444,39.94305556
DUJ,"DuBois, PA",PA,-78.89861111,41.17833333
ADQ,"Kodiak, AK",AK,-152.49388889,57.74972222
PPC,"Prospect Creek, AK",AK,-150.64361111,66.81416667
KOT,"Kotlik, AK",AK,-163.53277778,63.03055556
LMA,"Lake Minchumina, AK",AK,-152.30194444,63.88583333
TCL,"Tuscaloosa, AL",AL,-87.61138889,33.22055556
PHO,"Point Hope, AK",AK,-166.79916667,68.34861111
FOE,"Topeka, KS",KS,-95.66361111,38.95083333
UMT,"Umiat, AK",AK,-152.135,69.37111111
IGM,"Kingman, AZ",AZ,-113.93805556,35.25944444
LBL,"Liberal, KS",KS,-100.96,37.04388889
LNI,"Lonely, AK",AK,-153.24222222,70.91083333
MEI,"Meridian, MS",MS,-88.75194444,32.3325
FTW,"Dallas/Fort Worth, TX",TX,-97.3625,32.81972222
TUP,"Tupelo, MS",MS,-88.77,34.26888889
XNA,"Fayetteville, AR",AR,-94.30777778,36.28166667
APN,"Alpena, MI",MI,-83.56027778,45.07805556
CIU,"Sault Ste. Marie, MI",MI,-84.4725,46.25083333
RMP,"Rampart, AK",AK,-150.14083333,65.50777778
CDC,"Cedar City, UT",UT,-113.09888889,37.70083333
JST,"Johnstown, PA",PA,-78.83472222,40.31555556
HGZ,"Hogatza, AK",AK,-155.66888889,66.19166667
ARC,"Arctic Village, AK",AK,-145.57944444,68.11472222
AFW,"Dallas/Fort Worth, TX",TX,-97.31944444,32.99027778
MIE,"Muncie/Anderson/Newcastle, IN",IN,-85.39583333,40.2425
SVA,"Savoonga, AK",AK,-170.49305556,63.68638889
CLP,"Clarks Point, AK",AK,-158.52944444,58.83361111
KEK,"Ekwok, AK",AK,-157.47111111,59.35694444
KKU,"Ekuk, AK",AK,-158.55888889,58.81111111
KMO,"Manokotak, AK",AK,-159.05666667,58.98166667
KNW,"New Stuyahok, AK",AK,-157.37305556,59.45166667
TOG,"Togiak, AK",AK,-160.39666667,59.05361111
TWA,"Twin Hills, AK",AK,-160.275,59.07444444
WFB,"Ketchikan, AK",AK,-131.66833333,55.35805556
DRG,"Deering, AK",AK,-162.76694444,66.06916667
BKC,"Buckland, AK",AK,-161.14916667,65.98166667
EDA,"Edna Bay, AK",AK,-133.65555556,55.93638889
KCC,"Coffman Cove, AK",AK,-132.91666667,56.03333333
KPB,"Point Baker, AK",AK,-133.61666667,56.35
NKI,"Naukiti, AK",AK,-133.22083333,55.875
PPV,"Port Protection, AK",AK,-133.60833333,56.32916667
EHM,"Cape Newenham, AK",AK,-162.06305556,58.64805556
ELI,"Elim, AK",AK,-162.27055556,64.615
SKK,"Shaktoolik, AK",AK,-161.22388889,64.37111111
WMO,"White Mountain, AK",AK,-163.41277778,64.68916667
MOU,"Mountain Village, AK",AK,-163.68277778,62.09472222
SXP,"Sheldon Point, AK",AK,-164.84777778,62.52055556
BIG,"Big Delta, AK",AK,-145.72027778,63.99472222
CEM,"Central, AK",AK,-144.78083333,65.57388889
WLK,"Selawik, AK",AK,-159.98583333,66.60027778
KKB,"Kitoi Bay, AK",AK,-152.35,58.19166667
KMY,"Moser Bay, AK",AK,-154.14361111,57.02638889
KZB,"Zachar Bay, AK",AK,-153.75,57.55
SYB,"Seal Bay, AK",AK,-152.23333333,58.38333333
WBB,"Stebbins, AK",AK,-162.27805556,63.51583333
GAM,"Gambell, AK",AK,-171.73277778,63.76666667
GCK,"Garden City, KS",KS,-100.72444444,37.9275
GLV,"Golovin, AK",AK,-163.00722222,64.55055556
KKA,"Koyuk, AK",AK,-161.15416667,64.93944444
GNU,"Goodnews Bay, AK",AK,-161.57361111,59.11777778
GST,"Gustavus, AK",AK,-135.7075,58.42527778
HNH,"Hoonah, AK",AK,-135.40888889,58.09611111
HCR,"Holy Cross, AK",AK,-159.775,62.18833333
HKB,"Healy, AK",AK,-148.96888889,63.8675
ANV,"Anvik, AK",AK,-160.19,62.64722222
CYF,"Chefornak, AK",AK,-164.27916667,60.13694444
CZF,"Cape Romanzof, AK",AK,-166.03861111,61.78027778
HPB,"Hooper Bay, AK",AK,-166.14666667,61.52388889
KLG,"Kalskag, AK",AK,-160.34555556,61.53583333
KPN,"Kipnuk, AK",AK,-164.02805556,59.93166667
KUK,"Kasigluk, AK",AK,-162.52444444,60.87333333
MLL,"Marshall, AK",AK,-162.02611111,61.86416667
SMK,"St. Michael, AK",AK,-162.11027778,63.49
VAK,"Chevak, AK",AK,-165.60083333,61.54083333
WAA,"Wales, AK",AK,-168.095,65.6225
TLA,"Teller, AK",AK,-166.33944444,65.24027778
KBE,"Bell Island, AK",AK,-131.57,55.92944444
CGA,"Craig, AK",AK,-133.14611111,55.47916667
HYG,"Hydaburg, AK",AK,-132.82666667,55.20666667
HYL,"Hollis, AK",AK,-132.64444444,55.48194444
KLW,"Klawock, AK",AK,-133.07611111,55.57916667
KTB,"Thorne Bay, AK",AK,-132.535,55.68833333
LIJ,"Long Island, AK",AK,-132.75,54.9
MTM,"Metlakatla, AK",AK,-131.58333333,55.13333333
WHD,"Hyder, AK",AK,-130.005,55.90361111
WWP,"Whale Pass, AK",AK,-133.11666667,56.11666667
ZXJ,"Happy Harbour, AK",AK,-132.33333333,55.48833333
WKK,"Aleknagik, AK",AK,-158.61777778,59.2825
ORV,"Noorvik, AK",AK,-161.02222222,66.8175
WTK,"Noatak, AK",AK,-162.98055556,67.56111111
KVL,"Kivalina, AK",AK,-164.56361111,67.73611111
WWT,"Newtok, AK",AK,-164.64138889,60.93916667
ABL,"Ambler, AK",AK,-157.84583333,67.0875
SHG,"Shungnak, AK",AK,-157.1625,66.88805556
HOM,"Homer, AK",AK,-151.48583333,59.645
AGN,"Angoon, AK",AK,-134.58333333,57.50388889
TKE,"Tenakee, AK",AK,-135.2,57.71666667
KNK,"Kokhanok, AK",AK,-154.8025,59.43333333
JZE,"Trading Bay, AK",AK,-151.79888889,60.81555556
YAK,"Yakutat, AK",AK,-139.66027778,59.50333333
CHU,"Chuathbaluk, AK",AK,-159.21555556,61.57916667
CKD,"Crooked Creek, AK",AK,-158.135,61.86777778
KGX,"Grayling, AK",AK,-160.06638889,62.89222222
LVD,"Lime Village, AK",AK,-155.44027778,61.35916667
RDV,"Red Devil, AK",AK,-157.35027778,61.78805556
RSH,"Russian Mission, AK",AK,-161.31944444,61.775
SHX,"Shageluk, AK",AK,-159.56916667,62.69222222
SLQ,"Sleetmute, AK",AK,-157.16583333,61.70055556
SRV,"Stony River, AK",AK,-156.58861111,61.78972222
PQS,"Pilot Station, AK",AK,-162.9425,61.96138889
SCM,"Scammon Bay, AK",AK,-165.57361111,61.84444444
EDF,"Anchorage, AK",AK,-149.80638889,61.25138889
KEB,"Nanwalek, AK",AK,-151.92527778,59.35222222
MRI,"Anchorage, AK",AK,-149.84472222,61.21361111
PGM,"Port Graham, AK",AK,-151.83027778,59.34861111
SOV,"Seldovia, AK",AK,-151.705,59.44388889
PDB,"Pedro Bay, AK",AK,-154.13,59.79694444
PTA,"Port Alsworth, AK",AK,-154.31888889,60.20444444
ADW,"Camp Springs, MD",MD,-76.86694444,38.81083333
DYS,"Abilene, TX",TX,-99.85472222,32.42055556
SKF,"San Antonio, TX",TX,-98.58111111,29.38416667
HBH,"Hobart Bay, AK",AK,-133.46666667,57.4
KCL,"Chignik Lagoon, AK",AK,-158.53444444,56.31083333
KCQ,"Chignik, AK",AK,-158.77777778,56.25555556
NME,"Nightmute, AK",AK,-164.70416667,60.46916667
NUP,"Nunapitchuk, AK",AK,-162.44055556,60.90611111
KTS,"Brevig Mission, AK",AK,-166.46777778,65.33194444
MYU,"Mekoryuk, AK",AK,-166.27027778,60.3725
NIB,"Nikolai, AK",AK,-154.35833333,63.01861111
OOK,"Toksook, AK",AK,-165.08722222,60.54138889
NNL,"Nondalton, AK",AK,-154.83916667,59.98027778
TCM,"Tacoma, WA",WA,-122.47638889,47.13777778
TKJ,"Tok, AK",AK,-142.95361111,63.32944444
BYA,"Boundary, AK",AK,-141.11333333,64.07833333
TLJ,"Tatalina, AK",AK,-155.97805556,62.895
TNK,"Tununak, AK",AK,-165.24638889,60.56944444
TXK,"Texarkana, AR",AR,-93.99111111,33.45361111
UGN,"Waukegan, IL",IL,-87.86805556,42.42222222
WYB,"Yes Bay, AK",AK,-131.80111111,55.91611111
WMK,"Meyers Chuck, AK",AK,-132.25333333,55.74
DOV,"Dover, DE",DE,-75.46583333,39.12944444
SGY,"Skagway, AK",AK,-135.31694444,59.46027778
HNS,"Haines, AK",AK,-135.52361111,59.24388889
OBU,"Kobuk, AK",AK,-156.89722222,66.91222222
SHH,"Shishmaref, AK",AK,-166.08944444,66.24944444
KWF,"Waterfall, AK",AK,-133.24055556,55.29722222
MLY,"Manley Hot Springs, AK",AK,-150.6475,64.98805556
KPR,"Port Williams, AK",AK,-152.58333333,58.43333333
TEK,"Tatitlek, AK",AK,-146.69111111,60.8725
DQU,"Ketchikan, AK",AK,-131.60138889,55.77888889
ZXH,"Chomondely Sound, AK",AK,-132.11416667,55.23916667
LUR,"Cape Lisburne, AK",AK,-166.11111111,68.875
RDB,"Red Dog, AK",AK,-162.89916667,68.03222222
PAQ,"Palmer, AK",AK,-149.08861111,61.595
PML,"Port Moller, AK",AK,-160.56083333,56.00611111
KCG,"Chignik Bay, AK",AK,-158.37333333,56.31138889
PIP,"Pilot Point, AK",AK,-157.57194444,57.58027778
VZN,"Wildman Creek, AK",AK,-159.91666667,56.25
PTU,"Platinum, AK",AK,-161.82722222,59.01777778
BKW,"Beckley, WV",WV,-81.12416667,37.78722222
MDO,"Middleton Island, AK",AK,-146.30722222,59.45
UTO,"Utopia, AK",AK,-153.70361111,65.99277778
CNY,"Moab, UT",UT,-109.75361111,38.7575
FWL,"Farewell, AK",AK,-153.89055556,62.50916667
BLV,"Belleville, IL",IL,-89.83527778,38.54527778
FBK,"Fairbanks, AK",AK,-147.61638889,64.83666667
MOS,"Moses Point, AK",AK,-162.05722222,64.69805556
ZNC,"Nyac, AK",AK,-159.99361111,60.98055556
UGI,"Uganik, AK",AK,-153.31666667,57.75
HIF,"Ogden, UT",UT,-111.97305556,41.12388889
TYE,"Tyonek, AK",AK,-151.13805556,61.07666667
POB,"Fayetteville, NC",NC,-79.01444444,35.17083333
OQS,"Sandy, AK",AK,-160.22583333,56.23333333
CKB,"Clarksburg/Fairmont, WV",WV,-80.2275,39.29777778
ELV,"Elfin Cove, AK",AK,-136.31666667,58.2
PEC,"Pelican, AK",AK,-136.23333333,57.95
KOY,"Olga Bay, AK",AK,-154.2275,57.16222222
KPY,"Port Bailey, AK",AK,-153.03333333,57.93333333
GRI,"Grand Island, NE",NE,-98.30972222,40.9675
KAE,"Kake, AK",AK,-133.94388889,56.97333333
SHD,"Staunton, VA",VA,-78.89638889,38.26388889
SWO,"Stillwater, OK",OK,-97.08583333,36.16138889
MUO,"Mountain Home, ID",ID,-115.8725,43.04361111
A36,"Deep Bay, AK",AK,-131.65555556,55.56027778
KXA,"Kasaan, AK",AK,-132.39583333,55.53777778
CEC,"Crescent City, CA",CA,-124.23666667,41.78027778
ISN,"Williston, ND",ND,-103.64222222,48.17805556
BED,"Bedford, MA",MA,-71.28888889,42.47
OTH,"North Bend/Coos Bay, OR",OR,-124.24694444,43.41694444
PLB,"Plattsburgh, NY",NY,-73.52111111,44.68833333
HHH,"Hilton Head, SC",SC,-80.6975,32.22444444
JRB,"New York, NY",NY,-74.00916667,40.70111111
FRD,"Friday Harbor, WA",WA,-123.02444444,48.52194444
ESD,"Eastsound, WA",WA,-122.91055556,48.70833333
VGT,"Las Vegas, NV",NV,-115.19444444,36.21083333
ELY,"Ely, NV",NV,-114.84194444,39.29972222
MHK,"Manhattan/Ft. Riley, KS",KS,-96.67194444,39.14111111
OLF,"Wolf Point, MT",MT,-105.575,48.09444444
GGW,"Glasgow, MT",MT,-106.61472222,48.2125
HOB,"Hobbs, NM",NM,-103.21722222,32.6875
CVN,"Clovis, NM",NM,-103.0775,34.42666667
HWI,"Hawk Inlet, AK",AK,-134.75,58.13333333
TNC,"Tin City, AK",AK,-167.9225,65.56416667
ACV,"Arcata/Eureka, CA",CA,-124.10833333,40.97777778
DIK,"Dickinson, ND",ND,-102.80194444,46.79722222
LPW,"Little Port Walter, AK",AK,-134.83333333,56.38333333
MCE,"Merced, CA",CA,-120.51388889,37.28472222
XWA,"Williston, ND",ND,-103.75111111,48.26083333
RUT,"Rutland, VT",VT,-72.94972222,43.52972222
MTH,"Marathon, FL",FL,-81.05138889,24.72611111
EYW,"Key West, FL",FL,-81.76,24.55611111
MKK,"Hoolehua, HI",HI,-157.09638889,21.15277778
VRB,"Vero Beach, FL",FL,-80.41805556,27.65555556
MLS,"Miles City, MT",MT,-105.88611111,46.42805556
GDV,"Glendive, MT",MT,-104.80722222,47.13861111
JHM,"Kapalua, HI",HI,-156.67305556,20.96305556
SGU,"St. George, UT",UT,-113.51027778,37.03638889
LUK,"Cincinnati, OH",OH,-84.41861111,39.10333333
SDY,"Sidney, MT",MT,-104.1925,47.70694444
HII,"Lake Havasu City, AZ",AZ,-114.35833333,34.57111111
NIP,"Jacksonville, FL",FL,-81.67611111,30.23361111
GKN,"Gulkana, AK",AK,-145.45444444,62.155
SMN,"Salmon, ID",ID,-113.88138889,45.12333333
COF,"Cocoa Beach, FL",FL,-80.61,28.235
SYA,"Shemya, AK",AK,174.11361111,52.71222222
EDW,"Edwards, CA",CA,-117.87916667,34.91805556
SCJ,"Smith Cove, AK",AK,-132.35194444,55.45472222
NUW,"Whidbey Island, WA",WA,-122.65583333,48.35194444
DQH,"Alpine, AK",AK,-150.94472222,70.34416667
MVM,"Kayenta, AZ",AZ,-110.22833333,36.71638889
LYH,"Lynchburg, VA",VA,-79.20111111,37.32666667
SBY,"Salisbury, MD",MD,-75.50944444,38.34027778
CNM,"Carlsbad, NM",NM,-104.26333333,32.3375
BKX,"Brookings, SD",SD,-96.81888889,44.30444444
HON,"Huron, SD",SD,-98.22861111,44.38527778
A07,"Selawik, AK",AK,-160.15277778,66.76611111
LGD,"La Grande, OR",OR,-118.00611111,45.28944444
STG,"St. George Island, AK",AK,-169.56416667,56.60083333
ODW,"Oak Harbor, WA",WA,-122.67361111,48.25166667
EWN,"New Bern/Morehead/Beaufort, NC",NC,-77.04305556,35.07277778
IMT,"Iron Mountain/Kingsfd, MI",MI,-88.11444444,45.81833333
VIS,"Visalia, CA",CA,-119.39277778,36.31861111
FVQ,"Donlin Creek Mine, AK",AK,-158.20416667,62.07194444
STS,"Santa Rosa, CA",CA,-122.81277778,38.50972222
NTD,"Port Hueneme, CA",CA,-119.11972222,34.11916667
TCT,"Takotna, AK",AK,-156.02972222,62.99305556
PVY,"Pope Vanoy, AK",AK,-154.91666667,59.31666667
